"Historical_Site#RECORD_LINK_ID#BASE","Location#RECORD_LINK_ID#REF"
"3829120000001568013","3829120000001568005"
"3829120000001591038","3829120000001591030"
"3829120000001591053","3829120000001591045"
"3829120000001598025","3829120000001598022"
"3829120000001602005","3829120000001602002"
"3829120000001603011","3829120000001603008"
"3829120000001619011","3829120000001619008"
"3829120000001621015","3829120000001621012"
"3829120000001621031","3829120000001621028"
"3829120000001623017","3829120000001623014"
"3829120000001623025","3829120000001623022"
"3829120000001623039","3829120000001623036"
"3829120000001623055","3829120000001623052"
"3829120000001642011","3829120000001642008"
"3829120000001642025","3829120000001642022"
"3829120000001656011","3829120000001656008"
"3829120000001657011","3829120000001657008"
"3829120000001658011","3829120000001658008"
