"Historical_Site#RECORD_LINK_ID#BASE","User_Type#RECORD_LINK_ID#REF"
"3829120000001568013","3829120000001564003"
"3829120000001591038","3829120000001564023"
"3829120000001591053","3829120000001564003"
"3829120000001591053","3829120000001564007"
"3829120000001591053","3829120000001564011"
"3829120000001591053","3829120000001564015"
"3829120000001591053","3829120000001564019"
"3829120000001591053","3829120000001564023"
"3829120000001598025","3829120000001564003"
"3829120000001598025","3829120000001564007"
"3829120000001598025","3829120000001564011"
"3829120000001598025","3829120000001564015"
"3829120000001598025","3829120000001564019"
"3829120000001598025","3829120000001564023"
"3829120000001602005","3829120000001564003"
"3829120000001602005","3829120000001564007"
"3829120000001602005","3829120000001564011"
"3829120000001602005","3829120000001564015"
"3829120000001602005","3829120000001564019"
"3829120000001602005","3829120000001564023"
"3829120000001603011","3829120000001564003"
"3829120000001603011","3829120000001564007"
"3829120000001603011","3829120000001564011"
"3829120000001603011","3829120000001564015"
"3829120000001603011","3829120000001564019"
"3829120000001603011","3829120000001564023"
"3829120000001619011","3829120000001564003"
"3829120000001619011","3829120000001564007"
"3829120000001619011","3829120000001564011"
"3829120000001619011","3829120000001564015"
"3829120000001619011","3829120000001564019"
"3829120000001619011","3829120000001564023"
"3829120000001621015","3829120000001564003"
"3829120000001621015","3829120000001564007"
"3829120000001621015","3829120000001564011"
"3829120000001621015","3829120000001564015"
"3829120000001621015","3829120000001564019"
"3829120000001621015","3829120000001564023"
"3829120000001621031","3829120000001564003"
"3829120000001621031","3829120000001564007"
"3829120000001621031","3829120000001564011"
"3829120000001621031","3829120000001564015"
"3829120000001621031","3829120000001564019"
"3829120000001621031","3829120000001564023"
"3829120000001623017","3829120000001564003"
"3829120000001623017","3829120000001564007"
"3829120000001623017","3829120000001564011"
"3829120000001623017","3829120000001564015"
"3829120000001623017","3829120000001564019"
"3829120000001623017","3829120000001564023"
"3829120000001623025","3829120000001564003"
"3829120000001623025","3829120000001564007"
"3829120000001623025","3829120000001564011"
"3829120000001623025","3829120000001564015"
"3829120000001623025","3829120000001564019"
"3829120000001623025","3829120000001564023"
"3829120000001623039","3829120000001564003"
"3829120000001623039","3829120000001564007"
"3829120000001623039","3829120000001564011"
"3829120000001623039","3829120000001564015"
"3829120000001623039","3829120000001564019"
"3829120000001623039","3829120000001564023"
"3829120000001623055","3829120000001564003"
"3829120000001623055","3829120000001564007"
"3829120000001623055","3829120000001564011"
"3829120000001623055","3829120000001564015"
"3829120000001623055","3829120000001564019"
"3829120000001623055","3829120000001564023"
"3829120000001642011","3829120000001564003"
"3829120000001642011","3829120000001564007"
"3829120000001642011","3829120000001564011"
"3829120000001642011","3829120000001564015"
"3829120000001642025","3829120000001564003"
"3829120000001642025","3829120000001564007"
"3829120000001642025","3829120000001564011"
"3829120000001642025","3829120000001564015"
"3829120000001642025","3829120000001564019"
"3829120000001642025","3829120000001564023"
"3829120000001656011","3829120000001564003"
"3829120000001656011","3829120000001564007"
"3829120000001656011","3829120000001564011"
"3829120000001656011","3829120000001564015"
"3829120000001656011","3829120000001564019"
"3829120000001656011","3829120000001564023"
"3829120000001657011","3829120000001564003"
"3829120000001657011","3829120000001564007"
"3829120000001657011","3829120000001564011"
"3829120000001657011","3829120000001564015"
"3829120000001657011","3829120000001564019"
"3829120000001657011","3829120000001564023"
"3829120000001658011","3829120000001564003"
"3829120000001658011","3829120000001564007"
"3829120000001658011","3829120000001564011"
"3829120000001658011","3829120000001564015"
"3829120000001658011","3829120000001564019"
"3829120000001658011","3829120000001564023"
